City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
372,Boca Do Acre,BR,78.48,scattered clouds,-8.7522,-67.3978,Hotel Sao Pedro
373,Gat,IL,79.81,clear sky,31.61,34.7642,OlusHome
377,Biograd Na Moru,HR,79.75,scattered clouds,43.9433,15.4519,Villa Maimare
378,Morehead,US,83.95,clear sky,37.2711,-87.1764,CCI Express Inn
380,Gushikawa,JP,83.43,light rain,26.3544,127.8686,Kirari Guest House
383,Naliya,IN,81.3,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
384,Russell,US,82.0,scattered clouds,32.3502,-85.1999,Macs
386,Peoria,US,82.49,scattered clouds,40.7667,-89.7668,Wildlife Prairie Park
387,Koumac,NC,71.91,clear sky,-20.5667,164.2833,Le Monitel
388,Gibraltar,GI,76.95,few clouds,36.1447,-5.3526,The Caleta Hotel Gibraltar
392,Veraval,IN,80.85,overcast clouds,20.9,70.3667,Lords Inn Somnath
393,Salalah,OM,77.09,mist,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
395,Ozinki,RU,70.2,overcast clouds,51.1786,49.6769,Korolevskiy Dvor
396,Enugu,NG,74.59,few clouds,6.4402,7.4943,Bestchoice Hotel & Suites Enugu
399,Jinchang,CN,77.81,few clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
400,Port-Gentil,GA,73.36,few clouds,-0.7193,8.7815,Fengshui Residence
401,Ponta Delgada,PT,74.12,broken clouds,37.7333,-25.6667,Vila Nova Hotel
402,Muscat,OM,89.62,overcast clouds,23.6139,58.5922,Mutrah Hotel
403,Grand-Lahou,CI,74.88,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
405,Sagone,FR,72.07,few clouds,42.1155,8.6969,Camping Sagone
407,Cabras,IT,72.05,clear sky,39.93,8.5314,Hotel Villa Canu
415,Buritis,BR,72.19,overcast clouds,-15.6178,-46.4233,Hotel Rainha do Vale
416,Winslow,US,87.98,broken clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
418,Umm Lajj,SA,89.22,overcast clouds,25.0213,37.2685,Moon light Furnished Units
419,Shiraz,IR,74.64,few clouds,29.6036,52.5388,Shams Hotel
421,Tamiahua,MX,86.05,scattered clouds,21.2667,-97.45,Mission Of The Sun Hotel
422,Pedasi,PA,79.07,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
423,Mana,GF,79.47,scattered clouds,5.6592,-53.7767,LE SAMANA
427,Kavaratti,IN,80.91,scattered clouds,10.5669,72.642,Green leaf
428,Anori,BR,84.74,broken clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
430,Amahai,ID,77.85,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
431,Grand Forks,US,78.53,broken clouds,47.9417,-97.4337,Warrior Inn
434,Sham Churasi,IN,79.63,overcast clouds,31.4997,75.7494,Victoria Resorts
436,Digras,IN,74.82,scattered clouds,20.1167,77.7167,Swad Restaurant
441,Batticaloa,LK,79.12,overcast clouds,7.7102,81.6924,Grand Star Guest House
445,Korla,CN,83.79,broken clouds,41.7597,86.1469,Gulisitan Hotel
448,Meadow Lake,US,83.66,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
450,Poplar Bluff,US,86.18,clear sky,36.757,-90.3929,Holiday Inn Poplar Bluff
452,Prainha,BR,81.99,scattered clouds,-1.8,-53.48,Casa Rocha
454,Ormara,PK,84.83,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
460,Labuhan,ID,76.84,broken clouds,-6.8844,112.2051,DoubleFAG
462,Santa Cruz,BO,73.45,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
464,Axim,GH,74.86,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
465,Ishigaki,JP,82.53,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
466,Powell,US,77.36,scattered clouds,40.1578,-83.0752,The Brig
467,Chake Chake,TZ,72.64,broken clouds,-5.2459,39.7666,Pemba Sea View Hotel
468,Mayo,US,88.21,clear sky,38.8876,-76.5119,Resorts Resource Group International
469,Matadi,CD,71.56,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
470,Nizhniy Baskunchak,RU,82.71,broken clouds,48.2198,46.8311,Arman hotel
471,San Pedro,PH,78.35,few clouds,14.35,121.0167,Palines Apartment and Guesthouse
472,Harper,LR,76.42,overcast clouds,4.375,-7.7169,Screensaver
473,Chitral,PK,74.68,broken clouds,35.8462,71.7858,PTDC Motel Chitral
477,Abu Kamal,SY,86.7,clear sky,34.4506,40.9171,البوكمال
478,North Bend,US,75.24,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
479,Teguise,ES,70.02,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
481,Great Falls,US,94.39,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
482,Huejuquilla El Alto,MX,77.49,overcast clouds,22.6,-103.8667,Hotel Huexuquillan
483,North Adams,US,80.13,few clouds,42.7009,-73.1087,The Porches Inn at MASS MoCA
484,Binabalian,PH,81.21,overcast clouds,16.4202,119.9279,Sundowners Vacation Villas
486,Zhangjiakou,CN,75.34,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
488,Nyzhni Sirohozy,UA,77.77,light rain,46.8484,34.3804,"КАФЕ & ГОСТИНИЦА ""Акуна Матата"""
490,Brooks,CA,90.03,scattered clouds,50.5834,-111.8851,Heritage Inn Hotel & Convention Centre
492,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
494,Kiunga,PG,73.49,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
496,Moberly,US,90.43,clear sky,39.4184,-92.4382,Super 8 by Wyndham Moberly MO
497,Zhangye,CN,80.53,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
499,Kemptville,CA,75.45,clear sky,45.0168,-75.641,Kemptville Suites by Rob Thompson Hotels
505,Yatou,CN,75.79,few clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
506,Half Moon Bay,US,84.58,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
510,Kolokani,ML,74.8,light rain,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
511,Beloslav,BG,71.71,few clouds,43.1833,27.7,Guest Room Gebedje
513,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
514,Kulhudhuffushi,MV,80.89,broken clouds,6.6221,73.07,Haajy Guest House 1
516,Muli,MV,80.78,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
517,Broome,US,77.54,scattered clouds,42.2506,-75.833,Chenango Valley State Park
521,Basoko,CD,72.77,overcast clouds,1.2391,23.616,Jackyna Hotel
523,Gizo,SB,82.38,overcast clouds,-8.103,156.8419,Imagination Island
525,Pringsewu,ID,73.31,scattered clouds,-5.3582,104.9744,Urban Style by Front One
526,Canandaigua,US,77.05,clear sky,42.8742,-77.288,The Inn On The Lake
527,Buchanan,LR,75.79,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
528,Tshikapa,CD,72.54,scattered clouds,-6.4167,20.8,Tatem beach
529,Shediac,CA,73.92,broken clouds,46.2198,-64.5411,Auberge Gabrièle (Hôtel & Restaurant)
532,Thaton,MM,74.37,moderate rain,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
535,Vila Velha,BR,73.35,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
536,Pingdu,CN,75.4,clear sky,36.7844,119.9464,Dongfang Hotel
540,Sitio Novo Do Tocantins,BR,83.39,scattered clouds,-5.5183,-47.4611,Imperial Hotel
544,Kirando,TZ,73.04,few clouds,-7.4167,30.6,"Lake Shore Lodge, Tanganyika"
552,Melendugno,IT,77.09,clear sky,40.2747,18.3368,Alba Bed & Breakfast Melendugno
553,Sorong,ID,77.79,broken clouds,-0.8833,131.25,Waigo Splash Hotel
554,Bandiagara,ML,84.13,broken clouds,14.3501,-3.6104,Hotel de la Falaise
555,Port Blair,IN,81.19,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
556,Santa Isabel Do Rio Negro,BR,80.06,broken clouds,-0.4139,-65.0192,Hotel GSA
557,Teknaf,BD,77.65,light rain,20.8624,92.3058,Forestry Guesthouse
558,Wadi Maliz,TN,80.26,clear sky,36.4681,8.5495,Heremony
559,Echirolles,FR,76.48,few clouds,45.1333,5.7167,PoMo Hotel & Restaurant
561,Jayanca,PE,76.28,broken clouds,-6.3908,-79.8219,Rancho Santana Horseback Riding
563,Carauari,BR,79.39,overcast clouds,-4.8828,-66.8958,Hotel Fellip
565,Marsh Harbour,BS,82.85,clear sky,26.5412,-77.0636,Abaco Beach Resort
566,Balikpapan,ID,77.99,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
568,Saint-Ambroise,CA,70.12,broken clouds,48.5501,-71.3324,Motel Saint-Ambroise
569,Cockburn Town,TC,81.91,few clouds,21.4612,-71.1419,Osprey Beach Hotel
570,Progreso,MX,82.11,broken clouds,21.2833,-89.6667,Playa Linda Hotel
571,Alexandria,EG,75.74,clear sky,31.2156,29.9553,Royal Crown Hotel
572,Noumea,NC,72.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
573,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
574,Beliator,IN,76.78,overcast clouds,23.3333,87.2167,Taltore
577,Beipiao,CN,72.37,overcast clouds,41.7919,120.7792,Beipiao Hotel
580,Port-De-Bouc,FR,79.02,clear sky,43.4,4.9833,HOTEL RESIDENCE LES AIGUADES
582,Bilma,NE,93.65,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
583,Seoul,KR,74.59,few clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
584,Ler,SS,70.11,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
585,Kalia,BD,76.64,scattered clouds,23.0396,89.6328,সামিয়া এন্টারপ্রাইজ
586,Chiang Khong,TH,72.97,overcast clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
589,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
592,Bucerias,MX,87.98,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
597,Richards Bay,ZA,70.18,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
598,Boyolangu,ID,74.05,broken clouds,-8.1181,111.8935,Yos ega cv
599,Dublin,US,90.23,clear sky,37.7021,-121.9358,Larkspur Landing Pleasanton
602,Tuy Hoa,VN,77.68,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
604,Corrente,BR,78.46,scattered clouds,-3.7367,-43.3394,Chapadinhense Hotel
605,Kieta,PG,82.63,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
607,Coahuayana,MX,83.55,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
609,Tura,IN,73.2,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
612,Emilio Carranza,MX,83.75,scattered clouds,19.9711,-96.6114,Hotel Carranza Inn
613,Enzan,JP,80.55,overcast clouds,35.7,138.7333,Fuefukigawa Onsen Zabou
614,Lebanon,US,87.67,few clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
616,Vavuniya,LK,77.38,overcast clouds,8.7514,80.4971,Thampa Hotel
617,Fare,PF,78.42,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
620,Matanzas,CU,86.76,scattered clouds,23.0411,-81.5775,Hostal Sueños
624,Passo De Camaragibe,BR,76.55,clear sky,-9.2368,-35.4901,Chácara vovó candinha
628,Jizan,SA,81.54,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
629,Danville,US,81.09,few clouds,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
631,Clinton,US,77.85,few clouds,42.587,-82.9199,River's Edge
635,Jalu,LY,82.2,clear sky,29.0331,21.5482,صاحبة الفخامة
637,Ziyang,CN,82.62,broken clouds,29.2497,117.8547,Wuyuan Great Wall Hotel
640,Sakaiminato,JP,82.33,broken clouds,35.55,133.2333,Italian pasley
641,Sibu,MY,79.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
643,Casablanca,MA,73.62,scattered clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
646,Ryotsu,JP,80.26,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
649,Gazanjyk,TM,81.36,clear sky,39.2446,55.5154,Railway motel
651,Kefamenanu,ID,72.07,broken clouds,-9.4467,124.4781,Sokowindo Losmen
652,Vaitape,PF,78.44,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
654,Sola,VU,77.41,overcast clouds,-13.8833,167.55,Leumerus Bungalows
655,Phan Thiet,VN,75.11,broken clouds,10.9333,108.1,Hotel Saigon-PT
656,Eureka,US,76.68,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
657,Sinnamary,GF,79.54,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
661,Utmanzai,PK,79.41,overcast clouds,34.188,71.7629,ENGR. JUNAID ZAMAN HOME
662,Kashi,CN,79.81,broken clouds,39.4547,75.9797,帕米尔青年旅舍
663,Tateyama,JP,83.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
665,Aloleng,PH,81.03,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
666,Carutapera,BR,78.01,broken clouds,-1.195,-46.02,Lidera
667,Sampit,ID,74.32,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
668,Sciacca,IT,76.46,scattered clouds,37.5082,13.0881,Hotel Aliai
669,Zinder,NE,79.27,broken clouds,13.8072,8.9881,Hotel de Ville
670,Taklisah,TN,79.54,clear sky,36.7833,10.6333,Takelsa vineyard
672,Lingao,CN,78.87,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
673,Arak,IR,73.33,clear sky,34.0917,49.6892,Zagros Hotel
674,Yining,CN,80.71,overcast clouds,29.0361,114.5636,Xiushui Hotel
675,Zabid,YE,82.04,overcast clouds,14.1951,43.3152,مغرب التريبه
676,Mint Hill,US,83.8,clear sky,35.1796,-80.6473,Meadowbrook
677,Hobyo,SO,76.05,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
679,Acaponeta,MX,92.41,overcast clouds,22.4964,-105.3594,Hotel Casa Blanca
680,Hirara,JP,82.26,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
681,Puttur,IN,77.11,overcast clouds,12.7667,75.2167,Hotel Super Tower
682,Hailey,US,91.89,clear sky,43.5196,-114.3153,Wood River Inn & Suites
684,Ocean City,US,88.05,overcast clouds,39.2776,-74.5746,Biscayne Suites
